player,train_size,draw,n_shots,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
LeBron James,20,1,383,logistic_RBF,0.7431,0.2591,0.6038,0.6062,0.142885,-8.79,-5.74,5.67,0.035959,0.021794,0.244898
LeBron James,20,1,383,gp_location,0.6726,0.2388,0.6199,0.6116,0.090414,1.52,2.53,8.5,0.009866,0.017712,0.244898
LeBron James,20,2,364,intercept_only,0.6837,0.2453,0.5714,0.5,0.019231,-,-,-,0.00037,0.0,0.244898
LeBron James,20,2,364,binned_EB,0.6483,0.228,0.6523,0.6472,0.042292,5.18,7.07,14.16,0.002504,0.019038,0.244898
LeBron James,20,2,364,logistic_RBF,0.7085,0.2443,0.6038,0.632,0.105583,-3.62,0.4,5.67,0.020457,0.021055,0.244898
LeBron James,20,2,364,gp_location,0.6607,0.2329,0.6415,0.644,0.064663,3.37,5.04,12.27,0.008033,0.018421,0.244898
LeBron James,20,3,370,intercept_only,0.6846,0.2457,0.5714,0.5,0.028571,-,-,-,0.000816,0.0,0.244898
LeBron James,20,3,370,binned_EB,0.6665,0.2368,0.5714,0.6095,0.033244,2.65,3.63,0.01,0.007036,0.012815,0.244898
LeBron James,20,3,370,logistic_RBF,0.7036,0.2475,0.6038,0.6054,0.087544,-2.77,-0.73,5.67,0.013845,0.011307,0.244898
LeBron James,20,3,370,gp_location,0.6565,0.2321,0.6361,0.6446,0.035283,4.1,5.54,11.33,0.00187,0.016768,0.244898
LeBron James,20,4,415,intercept_only,0.6829,0.2449,0.5714,0.5,0.002754,-,-,-,8e-06,0.0,0.244898
LeBron James,20,4,415,binned_EB,0.6525,0.2299,0.6496,0.6277,0.044117,4.45,6.13,13.68,0.004469,0.018794,0.244898
LeBron James,20,4,415,logistic_RBF,0.7381,0.2561,0.6146,0.6052,0.123803,-8.08,-4.56,7.55,0.031366,0.022664,0.244898
LeBron James,20,4,415,gp_location,0.6767,0.2389,0.6361,0.62,0.104907,0.9,2.44,11.33,0.019883,0.025128,0.244898
LeBron James,30,0,563,intercept_only,0.6871,0.2469,0.5714,0.5,0.044912,-,-,-,0.002017,0.0,0.244898
LeBron James,30,0,563,binned_EB,0.6539,0.2304,0.6523,0.6284,0.062932,4.83,6.66,14.16,0.005322,0.020327,0.244898
LeBron James,30,0,563,logistic_RBF,0.6877,0.2419,0.6226,0.6186,0.084063,-0.08,2.03,8.97,0.012311,0.012574,0.244898
LeBron James,30,0,563,gp_location,0.6622,0.2339,0.6469,0.6356,0.079756,3.62,5.28,13.21,0.007339,0.017381,0.244898
LeBron James,30,1,588,intercept_only,0.6829,0.2449,0.5714,0.5,0.001701,-,-,-,3e-06,0.0,0.244898
